gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
0610005C13Rik	39	35	65	43	29	32	33	18	28	26	16	7	33	11
0610007C21Rik	5	10	10	13	11	7	7	9	2	11	5	3	6	7
0610007L01Rik	3	12	9	3	4	2	5	3	4	3	4	5	3	3
0610007N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007P08Rik	7	7	1	5	3	6	4	4	3	3	3	7	7	0
0610007P14Rik	4	5	4	1	2	6	7	2	2	4	0	1	4	3
0610007P22Rik	17	8	19	9	4	8	5	94	122	203	73	102	106	90
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	1	11	10	7	4	7	6	0	0	0	0	1	0	0
0610009B22Rik	0	0	0	0	2	1	0	1	0	0	0	0	0	0
0610009D07Rik	0	1	1	1	1	0	0	0	1	0	1	0	2	0
0610009E02Rik	237	302	302	228	183	238	245	219	253	257	298	211	297	257
0610009L18Rik	0	3	0	0	0	0	0	0	0	2	1	1	2	1
0610009O20Rik	23	28	29	30	24	21	23	31	48	36	43	31	42	36
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	6	2	4	3	6	4	4	3	2	3	5	4	5	5
0610010K14Rik	22	28	18	40	20	18	15	1	0	2	1	2	2	0
0610010O12Rik	2	5	3	5	4	4	4	1	3	1	1	2	1	5
0610011F06Rik	0	3	2	0	5	1	2	0	1	3	2	0	2	0
0610011L14Rik	1	1	0	1	2	0	0	0	0	1	1	1	0	2
0610012G03Rik	67	58	66	62	54	55	74	12	26	28	13	17	23	17
0610012H03Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0610025J13Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	69	78	108	84	87	95	82	17	26	41	32	29	39	37
0610031J06Rik	1	0	2	0	0	2	0	0	1	0	1	0	0	1
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	2	4	0	1	1	2	0	0	0	2	0	0	0	0
0610037P05Rik	1	0	1	3	0	1	1	1	0	2	2	1	2	2
0610038B21Rik	83	84	68	74	63	81	79	60	98	85	93	64	108	96
0610038L08Rik	238	242	187	210	175	196	246	171	185	153	195	127	180	155
0610039K10Rik	1149	1081	1305	1219	938	1003	1269	730	922	805	1056	554	946	781
0610040B10Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0610040F04Rik	277	308	316	320	216	275	277	210	254	219	232	180	236	177
0610040J01Rik	0	0	0	1	0	1	2	0	0	0	2	1	1	1
0610043K17Rik	6	3	7	9	2	4	4	0	1	3	5	2	2	1
0910001L09Rik	10	19	8	4	1	4	5	4	5	10	3	2	7	3
100043387	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001A16Rik	392	401	403	377	358	440	407	297	355	368	422	292	402	319
1110001J03Rik	0	0	0	1	0	1	0	0	1	0	0	0	1	0
1110002B05Rik	2	0	1	1	0	0	3	0	1	2	2	0	3	0
1110002L01Rik	3038	3469	3210	2958	2892	3242	3429	2753	3486	3151	3443	2870	3017	2701
1110002N22Rik	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1110003E01Rik	2	1	5	2	3	3	0	2	2	0	4	1	1	3
1110004E09Rik	2	1	4	4	5	7	8	3	6	4	11	5	6	5
1110004F10Rik	3	5	6	6	6	4	7	1	5	4	6	5	7	4
